,date,words
94,2023-11-23 23:45,"['女议员', '恐怖主义', '国家', '国会', '女议员', '国会议员', '小组讨论', '煽动者', '恐怖主义', '国家', '煽动性', '言论', '男子', '市', '员工', '视频']"
95,2023-11-22 23:56,"['河流', '留学生', '涂鸦', '使馆', '留学生', '涂鸦', '使馆', '留学生', '涂鸦', '使馆']"
96,2023-11-24 23:40,"['地带', '生效', '警眼品', '博', '视频']"
97,2023-11-20 23:58,"['真主党', '花式', '武器', '火箭弹', '弹头', '视频']"
98,2023-11-21 23:59,"['媒体', '导弹', '场景', '航程', '速度', '黄媒', '博', '视频']"
99,2023-11-19 23:53,"['新闻', '总部', '新闻', '主席', '证实', '降温']"
100,2023-11-23 23:45,"['地带', '人道主义', '时间', '时', '地带', '人道主义', '时间', '时', '时间', '时巴', '地带', '地带', '人道主义', '时间', '时']"
101,2023-11-22 23:55,"['局势', '压轴', '硬菜', '产品', '服务员', '上菜', '友情', '产品', '弹头', '重量', '地球', '镜头', '博', '视频']"
102,2023-11-24 23:39,"['纵容', '国际', '机构', '国际', '机构', '正义', '羊皮', '质问', '国际', '机构', '民众', '容忍度', '国际', '战场']"
103,2023-11-20 23:58,"['战争', '赢家', '世界', '儿童', '轮巴', '地带', '儿童', '儿童', '人', '人道', '名义', '孩子', '名义', '战马', '国家', '外长', '组团', '来华访问', '国际', '信任', '公道', '正义', '战争', '赢家', '疾呼', '新闻', '博', '视频']"
104,2023-11-21 09:00,['视频']
105,2023-11-21 23:59,"['视点', '电影', '热门', '博', '焦点']"
106,2023-11-19 23:52,"['国际形势', '话题', '队伍', '主旋律', '电影', '话题', '车辆']"
107,2023-11-23 23:44,"['方向', '基', '局部', '情况', '天气', '旅', '基', '森林', '力度', '旅', '阵地', '集中力量', '群', '突击队', '森林', '目标', '植被', '站稳脚跟', '大黄蜂', '火焰喷射器', '部署', '阵地', '阵地', '旅', '编队', '登陆点', '私人', '住宅', '弹药', '火箭弹', '炮兵', '岛', '渡口', '地区', '定向', '乌军', '过程', '岛', '先头部队', '地区', '战果', '森林', '地区', '强度', '旅', '正试图', '土壤', '局势', '猎人', '水相']"
108,2023-11-22 23:54,"['空突', '荣誉称号', '旅', '旅', '机动', '旅', '旅', '局势', '国际']"
109,2023-11-20 23:57,"['人', '仇视', '朋友']"
110,2023-11-21 13:53,"['景象', '全世界', '人类', '罪行', '网页', '链接']"
111,2023-11-21 23:57,"['记者', '人员', '建筑', '孩子', '无辜', '人', '局势', '反贼', '笑话']"
112,2023-11-18 23:59,"['时', '士兵', '手榴弹', '事件', '村庄', '事件', '士兵', '纪律处分', '母子', '人质', '地带', '发电厂', '燃料', '战争', '铁穹', '系统', '现场', '铁穹', '系统', '故障', '地带', '地带', '博', '新知', '博主', '大象', '军事', '勇者', '博', '视频']"
113,2023-11-19 23:51,"['降温', '欧洲人', '角色', '手', '祸患', '纵容', '纵容']"
114,2023-11-23 23:44,"['理响', '焦作', '讲习所', '世界', '讲习所', '世界']"
115,2023-11-22 23:20,['时间']
116,2023-11-22 23:52,"['视频', '平民', '小孩']"
117,2023-11-20 23:57,"['官方', '账号', '婴儿', '电力', '燃料', '黄媒']"
118,2023-11-21 23:57,"['会战', '火车站', '国军', '战士', '场景', '军事', '军事', '新闻', '军事', '视频', '网络', '博', '视频']"
119,2023-11-18 22:59,"['民众', '地带', '地区', '地带', '断水', '断电', '断网', '地区', '人口', '人道主义', '灾难']"
120,2023-11-18 23:58,"['图书馆', '耳机', '视频', '队伍', '散场', '一家人', '爸爸', '国旗', '小朋友', '旗子', '样子', '棉袄', '头发', '睫毛', '眼睛', '局外人', '事', '普通人', '医院', '儿童', '世界', '天地', '万物', '刍狗', '人类', '社会', '政治', '人', '目的', '手段']"
121,2023-11-19 23:50,"['视频', '场景', '隧道', '女性', '法事', '视频']"
122,2023-11-22 23:51,"['地带', '名', '人质', '总理', '意味', '军事行动', '政治局', '成员', '时间', '地带', '时间', '人道主义', '协议', '名', '妇女儿童', '妇女儿童', '总理', '警告', '协议', '地带', '军事行动', '战争', '目标', '所有人', '地带', '实体', '剪辑', '力量', '都市报', '博', '视频']"
123,2023-11-20 23:57,"['地带', '全程', '哔哩', '哔哩', '动画', '地带', '全程']"
124,2023-11-21 23:56,"['俘虏', '代表', '责任', '俘虏', '协商', '官方', '办事处', '议会', '议长', '领导人', '悼念', '仪式', '国际', '新闻', '视频', '博', '视频']"
125,2023-11-18 22:58,"['视频', '空虚', '跑步', '专业书', '自律', '自律', '人生', '信条', '人', '方式', '感觉', '营养', '视频', '游戏', '偶像剧', '人', '人', '空虚', '走捷径', '人类', '人', '本能', '自律', '短时间', '机器', '视觉', '一休哥', '博', '视频']"
126,2023-11-18 23:55,"['民众', '军队', '地方', '地带', '地带', '人道主义', '危机', '图像', '人员', '渠道', '部署', '话题', '权威专家', '来源', '宇宙', '飞', '火凤凰', '博', '视频']"
127,2023-11-19 23:50,"['卫队', '弹头', '导弹']"
128,2023-11-20 23:56,"['鬼谷子', '兔爷', '视频']"
129,2023-11-21 23:56,"['战争', '留学生', '医生']"
130,2023-11-18 01:42,[]
131,2023-11-18 21:59,"['远程', '龙应台', '龙应台', '脸', '远程', '龙应台', '脸', '效果']"
132,2023-11-18 22:58,"['官方', '时间', '特种部队', '军车', '军用', '推土机', '开路', '市区', '难民营', '道路', '基础设施', '平民', '人群', '催泪瓦斯', '部门', '路透社', '人', '局势', '武统', '武力', '博', '视频']"
133,2023-11-18 21:51,"['机位', '星舰', '场面', '镜头', '视野', '全炸渣', '渣', '云团', '来源', '围脖', '博', '视频']"
134,2023-11-18 23:55,"['矛', '白帽', '菜鸟', '烟花', '力度', '区别', '原因', '人道主义', '做人', '炸', '人', '人']"
135,2023-11-19 23:49,"['心', '热点新闻', '大熊', '博', '视频']"
136,2023-11-20 23:56,"['战争', '赢家', '世界', '儿童', '轮巴', '地带', '儿童', '儿童', '人', '人道', '名义', '孩子', '名义', '战马', '国家', '外长', '组团', '来华访问', '国际', '信任', '公道', '正义', '战争', '赢家', '疾呼', '新闻', '博', '视频']"
137,2023-11-16 19:21,"['实体', '军事行动', '战', '侵华日军', '史料', '现象', '人', '概念', '实体', '大本营', '直观']"
138,2023-11-18 21:57,"['团子', '巫女', '魔法', '经历', '屏幕', '日本鬼子', '图片', '视频', '证据', '感觉', '感觉']"
139,2023-11-18 22:58,"['战争', '事', '靠山', '民族', '伟大领袖', '人']"
140,2023-11-18 23:54,"['半岛', '电视台', '学校', '人']"
141,2023-11-19 23:49,"['政治', '政治', '新闻', '信息', '政治', '人', '国家', '高声', '样子', '国家', '情况', '国家', '政治', '人', '国家', '嘴巴', '基本操作', '国家', '身份', '人', '国家', '部署', '军队', '野心', '分子', '难民', '国家', '手段']"
142,2023-11-17 23:52,"['团子', '巫女', '魔法', '经历', '屏幕', '日本鬼子', '图片', '视频', '证据', '感觉', '感觉']"
143,2023-11-18 21:56,"['天', '全世界', '国家', '人', '动态', '看吧', '网页', '链接']"
144,2023-11-18 22:57,"['刷巴', '感觉', '世界', '局面', '现实']"
145,2023-11-18 23:54,"['力度', '区别', '原因', '人道主义', '做人', '炸', '人', '人']"
146,2023-11-17 23:49,"['世卫', '地带', '病人', '世卫', '皮', '机制', '病情', '病人', '医院', '医院', '医疗', '网页', '链接', '视界']"
147,2023-11-18 21:56,['世界']
148,2023-11-18 22:57,"['全国', '省份', '群众', '集会']"
149,2023-11-18 23:53,"['视频', '导弹', '弹头', '炸', '导弹', '雏菊', '博', '视频']"
150,2023-11-17 23:48,"['声称', '人', '掌权', '太', '样子']"
151,2023-11-18 21:55,"['军队', '妇女', '儿子', '视频', '网络', '砖', '博', '视频']"
152,2023-11-18 22:57,"['媒体', '地带', '学校', '人', '半岛', '电视台', '地带', '学校', '人', '官方', '数据', '人', '地带', '人', '人']"
153,2023-11-18 23:50,"['旅', '火箭弹', '视频', '雄狮', '博', '视频']"
154,2023-11-17 23:39,"['民兵', '武装', '报纸', '祖国', '报', '消息', '时间', '民兵', '武装', '省']"
155,2023-11-18 21:55,"['党课', '建议', '主题', '计划']"
156,2023-11-18 22:57,"['军队', '社区', '恐怖分子', '国际', '新闻', '热点新闻', '大熊', '博', '视频']"
157,2023-11-18 18:20,"['学院', '学生', '穗城', '博', '视频']"
158,2023-11-18 23:50,"['评论', '眼球', '雨', '心声', '列表', '恶魔']"
159,2023-11-17 23:38,"['新闻', '代总统', '警告', '国家', '危机', '黑手', '军演', '内战', '内战', '代总统', '警告', '国家', '危机', '黑手', '军演', '新闻', '客户端']"
160,2023-11-17 22:59,"['局势', '名', '军人', '工人', '视点', '焦点', '利益', '因素', '道义上', '知恩图报', '国家', '热门', '博', '书院', '博', '视频']"
161,2023-11-18 21:54,"['武装', '地点', '船只', '数据', '时间', '武装', '地点', '船只', '地带', '军事行动', '武装', '弹道导弹', '船只', '表态', '新闻', '数据']"
162,2023-11-18 19:31,"['公安', '移民']"
163,2023-11-18 22:56,"['清风', '霁月', '微尘', '国际', '环境', '时机', '因素', '战争', '国家', '强力', '机关', '雪', '键盘']"
164,2023-11-18 23:48,"['力度', '区别', '原因', '人道主义', '做人', '炸', '人', '人']"
165,2023-11-17 23:38,"['局势', '火', '穿衣服', '婚姻', '货币', '世界', '灾难', '世界']"
166,2023-11-17 22:58,"['外长', '信息', '战争', '外长', '媒体', '时称', '大使馆', '利益', '部门', '信息', '对话', '可能性', '战争', '地区', '人民', '罪行', '可能性', '真主党', '真主党', '地区', '部署', '航空母舰', '部队', '战争', '武装部队', '导弹', '被占领土', '战争', '真主党', '战争', '轮巴', '武装', '基地', '部队', '官员', '军方', '卫队', '设施', '设施', '边境', '恐怖分子', '时', '军队', '物资', '军队', '医院', '战争', '方式', '常规', '军队', '指', '军队', '阶段', '地面', '战争', '命运', '导弹', '能力', '军事装备', '可能性']"
167,2023-11-18 21:53,"['难民营', '人', '军队', '难民营', '人', '媒体报道', '名', '軍', '難民', '人']"
168,2023-11-18 22:56,['人']
169,2023-11-17 23:37,"['长老', '财经', '博', '视频']"
