,date,words
93,2023-09-30 05:22,"['市长', '直播间', '价格', '村霸', '保护伞', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '新闻', '博', '法官', '新闻', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接', '网页', '链接']"
94,2023-09-27 22:00,"['市长', '村霸', '保护伞', '直播间', '价格', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '新闻', '博', '法官', '新闻', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接', '市长', '网页', '链接']"
95,2023-09-25 05:42,"['市长', '村霸', '保护伞', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '新闻', '博', '法官', '新闻', '直播间', '价格', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接']"
96,2023-09-25 05:34,"['村霸', '保护伞', '农业', '农村', '局长', '村霸', '保护伞', '合法', '村霸', '保护伞', '合法', '直播间', '价格', '新闻', '投案', '法官', '果果', '法官', '果果', '违纪', '投案', '网页', '链接']"
97,2023-10-30 21:52,['平台']
98,2023-10-29 18:10,"['医务人员', '时间', '时间', '社交', '媒体', '视频', '救护车', '医务人员', '婴儿', '观察者', '网微博', '视频']"
99,2023-10-30 19:04,"['战离', '祖国', '祖国', '冲锋', '视频']"
100,2023-09-28 05:51,"['市长', '书记', '被告方', '被告', '书记', '政府', '被告', '直播间', '价格', '网页', '链接']"
101,2023-09-27 22:11,"['市长', '市长', '书记', '村霸', '保护伞', '晚会', '直播间', '价格', '新闻', '保护伞', '合法', '农业', '农村', '局长', '网页', '链接']"
102,2023-09-30 05:29,"['村霸', '保护伞', '直播间', '价格', '医药', '风暴', '新闻', '市长', '书记', '村霸', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接']"
103,2023-10-14 15:53,"['台词', '字幕', '博', '视频']"
104,2023-03-06 17:38,"['会粹', '遗', '观点', '祖国', '遗', '绣女', '小时', '女养', '家糊', '绣女', '绣业', '业', '学', '刺绣', '母传', '女姐', '教妹', '原生态', '遗', '消失']"
105,2022-04-08 06:26,"['年薪', '书记', '会粹', '公司', '专利权', '知识产权局', '绣品', '街', '绣品', '街', '刺绣', '会粹', '肖像', '家谱', '艺术品', '领先', '遗', '艺术', '世界', '会粹', '绝技', '家人', '世界', '名画']"
106,2023-10-22 09:45,['峰会']
107,2023-07-04 09:54,"['专利', '年薪', '遗用', '刺绣', '市面上', '技艺', '会粹用', '巨资', '绝技', '人', '灵魂', '肖像', '家谱', '人类', '灵魂', '艺术', '人类', '传家宝', '世间', '万物', '会粹', '肖像', '家谱', '专利', '会粹', '艺术', '肖像', '家谱', '人', '灵魂', '专利', '领先', '遗', '技', '家人', '世界', '名画']"
108,2023-07-24 06:58,"['专利', '年薪', '少女', '闺阁', '历史', '奶奶', '纠葛', '学', '刺绣', '原生态', '问', '记忆里', '书籍', '历史长河', '专利', '会粹', '艺术', '肖像', '家谱', '人', '灵魂', '专利', '领先', '遗', '技', '家人', '世界', '名画']"
109,2023-10-12 14:22,"['白纸', '蓝笔', '私信', '笔迹']"
110,2019-01-11 09:15,"['国际歌', '国际歌']"
